Country name,Regional indicator,Ladder_score,Log_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom,Generosity,Perceptions_of_corruption,Dystopia + residual
Mauritius,Sub-Saharan Africa,6.101299763,1.07366395,1.395666838,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543
Ivory Coast,Sub-Saharan Africa,5.233300209,0.537094414,0.799727261,0.154942513,0.397122532,0.169915587,0.093495794,3.081022501
Benin,Sub-Saharan Africa,5.21600008,0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874,3.440809727
Congo (Brazzaville),Sub-Saharan Africa,5.194399834,0.633616745,0.757636011,0.458101124,0.386514395,0.117216013,0.118670784,2.722619534
Ghana,Sub-Saharan Africa,5.147999763,0.575862467,0.96636796,0.432162255,0.477290064,0.261291206,0.056570381,2.378437281
Cameroon,Sub-Saharan Africa,5.084899902,0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422,2.719370842
Senegal,Sub-Saharan Africa,4.980800152,0.504061818,0.95459342,0.518391907,0.352400899,0.164397135,0.081865937,2.405123949
Guinea,Sub-Saharan Africa,4.949299812,0.390007734,0.75136596,0.333655238,0.371878058,0.249490842,0.112204559,2.740729809
Niger,Sub-Saharan Africa,4.909599781,0.108330332,0.703800142,0.298816353,0.435311615,0.208176896,0.137554765,3.017630577
Gabon,Sub-Saharan Africa,4.829299927,0.988044381,1.10639751,0.522574842,0.369459897,0.052013602,0.055804539,1.735027552
South Africa,Sub-Saharan Africa,4.814099789,0.902140439,1.259086251,0.407034069,0.43478182,0.126406848,0.05950214,1.625117302
Burkina Faso,Sub-Saharan Africa,4.768700123,0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055,2.588826418
Gambia,Sub-Saharan Africa,4.750599861,0.256990552,0.882678688,0.353247881,0.403419524,0.425989687,0.158093795,2.270216465
Mali,Sub-Saharan Africa,4.729300022,0.352462649,0.97314173,0.234981522,0.377534449,0.16966705,0.062146276,2.559335232
Nigeria,Sub-Saharan Africa,4.724100113,0.645901859,0.986717939,0.167835936,0.435079455,0.221328124,0.047589935,2.219635487
,,5.028913275,0.542723182,0.914581366,0.370414629,0.413274091,0.195591245,0.091621366,2.500708215
